French,English
histoire,history
chercher,search
police,police
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
arrivé,come
bébé,baby
longtemps,long time
pendant,while
revoir,meet again
aucune,any
étaient,were
attention,Warning
pourrais,could
type,type
leurs,their
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
côté,side
vieux,old
sois,be
tellement,so much
suite,after
pardon,sorry
venez,come
vers,towards
mis,placed
belle,beautiful
droit,law
aimerais,would like to
cause,cause
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
